Nr.,Titlu Produs,Brand,Material,Preț Oficial (LEI),Cale Imagine Locală,URL Master Slab,URL Produs top-blat.ro
265,Toros – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/toros-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TOROS-CIMSTONE.avif,https://top-blat.ro/produs/toros-quartz-cimstone/
266,Toscana Cream – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/toscana-cream-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TOSCANA-CREAM-2-SILESTONE.avif,https://top-blat.ro/produs/toscana-cream-quartz-silestone/
267,Travertino Halo White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-halo-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-HALO-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-halo-white-ceramica-atlas-plan/
268,Travertino Navona White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-navona-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-NAVONA-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-navona-white-ceramica-atlas-plan/
269,Travertino Pearl – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-pearl-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-PEARL-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-pearl-ceramica-atlas-plan/
270,Travertino Romano Sand – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-romano-sand-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-ROMANO-SAND-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-romano-sand-ceramica-atlas-plan/
271,Travertino Romano Silver – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-romano-silver-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-ROMANO-SILVER-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-romano-silver-ceramica-atlas-plan/
272,Travertino Sand – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-sand-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-SAND-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-sand-ceramica-atlas-plan/
273,Travertino White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/travertino-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TRAVERTINO-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/travertino-white-ceramica-atlas-plan/
274,Troas – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/troas-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TROAS-CIMSTONE.avif,https://top-blat.ro/produs/troas-quartz-cimstone/
275,Tundra – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/tundra-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TUNDRA-CIMSTONE.avif,https://top-blat.ro/produs/tundra-quartz-cimstone/
276,Verde Peak – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/verde-peak-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/VERDE-PEAK-3-TECHNISTONE.avif,https://top-blat.ro/produs/verde-peak-quartz-technistone/
277,Verderame Natural – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.066,673 lei/mp",culori_quartz/images/verderame-natural-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/VERDERAME-NATURAL-2-LAMINAM-1.avif,https://top-blat.ro/produs/verderame-natural-ceramica-laminam/
278,Versailles Ivory – Quartz Silestone,Silestone,Cuarț Compozit,"9.309,387 lei/mp",culori_quartz/images/versailles-ivory-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/VERSAILLES-IVORY-2-SILESTONE.avif,https://top-blat.ro/produs/versailles-ivory-quartz-silestone/
279,Versillia – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/versillia-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/VERSILIA-CIMSTONE.avif,https://top-blat.ro/produs/versillia-quartz-cimstone/
280,Victorian Silver – Quartz Silestone,Silestone,Cuarț Compozit,"9.309,387 lei/mp",culori_quartz/images/victorian-silver-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/VICTORIAN-SILVER-2-SILESTONE.avif,https://top-blat.ro/produs/victorian-silver-quartz-silestone/
281,White Arabesque – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/white-arabesque-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/WHITE-ARABESQUE-2-SILESTONE.avif,https://top-blat.ro/produs/white-arabesque-quartz-silestone/
282,White Cloud – Ceramic Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/white-cloud-ceramic-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/WHITE-CLOUD-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/white-cloud-ceramic-atlas-plan/
283,White Storm – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/white-storm-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/WHITE-STORM-14-2-SILESTONE.avif,https://top-blat.ro/produs/white-storm-quartz-silestone/
284,Yukon – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/yukon-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/YUKON-2-SILESTONE.avif,https://top-blat.ro/produs/yukon-quartz-silestone/
285,Zenit – Quartz Coante,Coante,Cuarț Compozit,"2.794,749 lei/mp",culori_quartz/images/zenit-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/ZENIT-2-COANTE-1.avif,https://top-blat.ro/produs/zenit-quartz-coante/
286,Zephyr – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/zephyr-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/ZEPHYR-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/zephyr-ceramica-atlas-plan/
